ID	numberOfMistakes
﻿promptid_answerid	1.0
1-1_2657-1-1	0.06995884773662552
1-1_2658-1-1	0.10344827586206896
1-1_2659-1-1	0.2
1-1_2662-1-1	0.016129032258064516
1-1_2672-1-1	0.05714285714285714
1-1_2673-1-1	0.10326086956521739
1-1_2674-1-1	0.11160714285714286
1-1_2675-1-1	0.0375
1-1_2677-1-1	0.03862660944206009
1-1_2678-1-1	0.05508474576271186
1-1_2679-1-1	0.09090909090909091
1-1_2680-1-1	0.044444444444444446
1-1_2681-1-1	0.12692307692307692
1-1_2682-1-1	0.03278688524590164
1-1_2688-1-1	0.14792899408284024
1-1_2691-1-1	0.0653061224489796
1-1_2693-1-1	0.0730593607305936
1-1_2701-1-1	0.06181818181818182
1-1_2702-1-1	0.08
1-1_2703-1-1	0.09202453987730061
1-1_2705-1-1	0.06607929515418502
1-1_2706-1-1	0.043795620437956206
1-1_2707-1-1	0.019157088122605363
1-1_2709-1-1	0.1111111111111111
1-1_2710-1-1	0.16793893129770993
1-1_2711-1-1	0.23741007194244604
1-1_2714-1-1	0.07142857142857142
1-1_2716-1-1	0.03187250996015936
1-1_2724-1-1	0.068
1-1_2726-1-1	0.15625
1-1_2729-1-1	1.0
1-1_2745-1-1	0.11616161616161616
1-1_2752-1-1	0.023972602739726026
1-1_2756-1-1	0.03363914373088685
1-1_2757-1-1	0.01020408163265306
1-1_2760-1-1	0.08296943231441048
1-1_2769-1-1	0.015748031496062992
1-1_2770-1-1	0.14814814814814814
1-1_2772-1-1	0.07407407407407407
1-1_2773-1-1	0.24305555555555555
1-1_2774-1-1	0.14354066985645933
1-1_2775-1-1	0.017316017316017316
1-1_2777-1-1	0.013392857142857142
1-1_2780-1-1	0.046762589928057555
1-1_2782-1-1	0.08641975308641975
1-1_2786-1-1	0.25287356321839083
1-1_2787-1-1	0.08298755186721991
1-1_2788-1-1	0.05185185185185185
1-1_2789-1-1	0.21935483870967742
1-1_2792-1-1	0.012145748987854251
1-1_2793-1-1	0.029197080291970802
1-1_2794-1-1	0.28342245989304815
1-1_2796-1-1	0.026936026936026935
1-1_2799-1-1	0.05660377358490566
1-1_2800-1-1	0.09191176470588236
1-1_2801-1-1	0.03536977491961415
1-1_2805-1-1	0.054901960784313725
1-1_2806-1-1	0.01694915254237288
1-1_2807-1-1	0.10747663551401869
1-1_2808-1-1	1.0
1-1_2809-1-1	0.12195121951219512
1-1_2811-1-1	0.09061488673139159
1-1_2812-1-1	0.11864406779661017
1-1_2813-1-1	0.04819277108433735
1-1_2814-1-1	0.021367521367521368
1-1_2819-1-1	0.2222222222222222
1-1_2821-1-1	0.04329004329004329
1-1_2826-1-1	0.1870967741935484
1-1_2828-1-1	0.03832752613240418
1-1_2829-1-1	0.07177033492822966
1-1_2831-1-1	0.1443850267379679
1-1_2840-1-1	0.024305555555555556
1-1_2841-1-1	0.06565656565656566
1-1_2850-1-1	1.0
1-1_2857-1-1	0.011278195488721804
1-1_2861-1-1	0.003663003663003663
1-1_2865-1-1	0.11688311688311688
1-1_2874-1-1	0.011278195488721804
1-1_2881-1-1	0.112
1-1_2882-1-1	0.23129251700680273
1-1_2886-1-1	0.01293103448275862
1-1_2889-1-1	0.15037593984962405
1-1_2890-1-1	1.0
1-1_2891-1-1	0.014705882352941176
1-1_2898-1-1	0.06451612903225806
1-1_2900-1-1	0.050724637681159424
1-1_2902-1-1	0.025974025974025976
1-1_2904-1-1	0.15979381443298968
1-1_2909-1-1	0.03125
1-1_2915-1-1	0.010416666666666666
1-1_2916-1-1	0.1891891891891892
1-1_2923-1-1	0.041666666666666664
1-1_2925-1-1	0.06280193236714976
1-1_2926-1-1	0.0
1-1_2927-1-1	0.05333333333333334
1-1_2929-1-1	0.056179775280898875
1-1_2931-1-1	0.12217194570135746
1-1_2932-1-1	0.0794392523364486
1-1_2934-1-1	0.04184100418410042
1-1_2935-1-1	0.26424870466321243
1-1_2936-1-1	0.23300970873786409
1-1_2938-1-1	0.18181818181818182
1-1_2942-1-1	0.18137254901960784
1-1_2943-1-1	0.10305343511450382
1-1_2946-1-1	0.060836501901140684
1-1_2953-1-1	0.03643724696356275
1-1_2954-1-1	0.014388489208633094
1-1_2960-1-1	0.11737089201877934
1-1_2966-1-1	0.015810276679841896
1-1_2967-1-1	0.08056872037914692
1-1_2970-1-1	0.06607929515418502
1-1_2971-1-1	0.06589147286821706
1-1_2972-1-1	0.04093567251461988
1-1_2973-1-1	0.1383399209486166
1-1_2974-1-1	0.05128205128205128
1-1_2975-1-1	0.029661016949152543
1-1_2978-1-1	0.012875536480686695
1-1_2979-1-1	0.06167400881057269
1-1_2981-1-1	0.11570247933884298
1-1_2982-1-1	0.008695652173913044
1-1_2983-1-1	0.0653061224489796
1-1_2985-1-1	0.08243727598566308
1-1_2986-1-1	0.10480349344978165
1-1_2988-1-1	0.05084745762711865
1-1_2990-1-1	0.017793594306049824
1-1_2991-1-1	0.20930232558139536
