ID	numberOfMistakes
1_2657-1-1	0.12757201646090535
1_2658-1-1	0.20689655172413793
1_2659-1-1	0.24
1_2662-1-1	0.06048387096774194
1_2672-1-1	0.14857142857142858
1_2673-1-1	0.16304347826086957
1_2674-1-1	0.18303571428571427
1_2675-1-1	0.1125
1_2677-1-1	0.07725321888412018
1_2678-1-1	0.15677966101694915
1_2679-1-1	0.11818181818181818
1_2680-1-1	0.16444444444444445
1_2681-1-1	0.19230769230769232
1_2682-1-1	0.11885245901639344
1_2688-1-1	0.27218934911242604
1_2691-1-1	0.19183673469387755
1_2693-1-1	0.1963470319634703
1_2701-1-1	0.13090909090909092
1_2702-1-1	0.14222222222222222
1_2703-1-1	0.22699386503067484
1_2705-1-1	0.09691629955947137
1_2706-1-1	0.13503649635036497
1_2707-1-1	0.13026819923371646
1_2709-1-1	0.21296296296296297
1_2710-1-1	0.20610687022900764
1_2711-1-1	0.2949640287769784
1_2714-1-1	0.15476190476190477
1_2716-1-1	0.13545816733067728
1_2724-1-1	0.104
1_2726-1-1	0.2760416666666667
1_2729-1-1	1.0
1_2745-1-1	0.15656565656565657
1_2752-1-1	0.0821917808219178
1_2756-1-1	0.11009174311926606
1_2757-1-1	0.14285714285714285
1_2760-1-1	0.13537117903930132
1_2769-1-1	0.11811023622047244
1_2770-1-1	0.24444444444444444
1_2772-1-1	0.15555555555555556
1_2773-1-1	0.2361111111111111
1_2774-1-1	0.2966507177033493
1_2775-1-1	0.10822510822510822
1_2777-1-1	0.12946428571428573
1_2780-1-1	0.12589928057553956
1_2782-1-1	0.14814814814814814
1_2786-1-1	0.3486590038314176
1_2787-1-1	0.14107883817427386
1_2788-1-1	0.14814814814814814
1_2789-1-1	0.22580645161290322
1_2792-1-1	0.15384615384615385
1_2793-1-1	0.16423357664233576
1_2794-1-1	0.33689839572192515
1_2796-1-1	0.1717171717171717
1_2799-1-1	0.10377358490566038
1_2800-1-1	0.15073529411764705
1_2801-1-1	0.09646302250803858
1_2805-1-1	0.14901960784313725
1_2806-1-1	0.10508474576271186
1_2807-1-1	0.21962616822429906
1_2808-1-1	1.0
1_2809-1-1	0.1910569105691057
1_2811-1-1	0.1779935275080906
1_2812-1-1	0.211864406779661
1_2813-1-1	0.14859437751004015
1_2814-1-1	0.10683760683760683
1_2819-1-1	0.2222222222222222
1_2821-1-1	0.11688311688311688
1_2826-1-1	0.23225806451612904
1_2828-1-1	0.1258741258741259
1_2829-1-1	0.1722488038277512
1_2831-1-1	0.20320855614973263
1_2840-1-1	0.0798611111111111
1_2841-1-1	0.18686868686868688
1_2850-1-1	1.0
1_2857-1-1	0.16917293233082706
1_2861-1-1	0.09523809523809523
1_2865-1-1	0.22402597402597402
1_2874-1-1	0.09022556390977443
1_2881-1-1	0.144
1_2882-1-1	0.3401360544217687
1_2886-1-1	0.09913793103448276
1_2889-1-1	0.23308270676691728
1_2890-1-1	1.0
1_2891-1-1	0.11397058823529412
1_2898-1-1	0.1532258064516129
1_2900-1-1	0.12318840579710146
1_2902-1-1	0.09956709956709957
1_2904-1-1	0.19487179487179487
1_2909-1-1	0.10546875
1_2915-1-1	0.16666666666666666
1_2916-1-1	0.31351351351351353
1_2923-1-1	0.14583333333333334
1_2925-1-1	0.1497584541062802
1_2926-1-1	0.12871287128712872
1_2927-1-1	0.12444444444444444
1_2929-1-1	0.16853932584269662
1_2931-1-1	0.17647058823529413
1_2932-1-1	0.1261682242990654
1_2934-1-1	0.11715481171548117
1_2935-1-1	0.3134715025906736
1_2936-1-1	0.36893203883495146
1_2938-1-1	0.21022727272727273
1_2942-1-1	0.24019607843137256
1_2943-1-1	0.1717557251908397
1_2946-1-1	0.1444866920152091
1_2953-1-1	0.11740890688259109
1_2954-1-1	0.08992805755395683
1_2960-1-1	0.14084507042253522
1_2966-1-1	0.11067193675889328
1_2967-1-1	0.14218009478672985
1_2970-1-1	0.14537444933920704
1_2971-1-1	0.1124031007751938
1_2972-1-1	0.12280701754385964
1_2973-1-1	0.25691699604743085
1_2974-1-1	0.17094017094017094
1_2975-1-1	0.09322033898305085
1_2978-1-1	0.1072961373390558
1_2979-1-1	0.16299559471365638
1_2981-1-1	0.15702479338842976
1_2982-1-1	0.06956521739130435
1_2983-1-1	0.12653061224489795
1_2985-1-1	0.08602150537634409
1_2986-1-1	0.22707423580786026
1_2988-1-1	0.13983050847457626
