ID	numberOfMistakes
promptid_answerid	0.5
1_0	0.040983606557377046
1_1	0.017467248908296942
1_2	0.048
1_3	0.0423728813559322
1_4	0.03017241379310345
1_5	0.029166666666666667
1_6	0.044444444444444446
1_7	0.037900874635568516
1_8	0.04819277108433735
1_9	0.03278688524590164
1_10	0.04743083003952569
1_11	0.038135593220338986
1_12	0.02702702702702703
1_13	0.012875536480686695
1_14	0.043478260869565216
1_15	0.038461538461538464
1_16	0.03278688524590164
1_17	0.04065040650406504
1_18	0.021367521367521368
1_19	0.0546218487394958
1_20	0.029411764705882353
1_21	0.026200873362445413
1_22	0.029304029304029304
1_23	0.02476780185758514
1_24	0.03225806451612903
1_25	0.04895104895104895
1_26	0.038135593220338986
1_27	0.029288702928870293
1_28	0.03162055335968379
1_29	0.029288702928870293
1_30	0.058823529411764705
1_31	0.023809523809523808
1_32	0.03734439834024896
1_33	0.039473684210526314
1_34	0.03305785123966942
1_35	0.0502092050209205
1_36	0.021406727828746176
1_37	0.017094017094017096
1_38	0.02843601895734597
1_39	0.013513513513513514
1_40	0.02054794520547945
1_41	0.03503184713375796
1_42	0.03529411764705882
1_43	0.040983606557377046
1_44	0.017467248908296942
1_45	0.048
1_46	0.0423728813559322
1_47	0.03017241379310345
1_48	0.029166666666666667
1_49	0.044444444444444446
1_50	0.037900874635568516
1_51	0.04819277108433735
1_52	0.03278688524590164
1_53	0.04743083003952569
1_54	0.038135593220338986
1_55	0.02702702702702703
1_56	0.012875536480686695
1_57	0.043478260869565216
1_58	0.038461538461538464
1_59	0.03278688524590164
1_60	0.04065040650406504
1_61	0.021367521367521368
1_62	0.0546218487394958
1_63	0.029411764705882353
1_64	0.026200873362445413
1_65	0.029304029304029304
1_66	0.02476780185758514
1_67	0.03225806451612903
1_68	0.04895104895104895
1_69	0.038135593220338986
1_70	0.029288702928870293
1_71	0.03162055335968379
1_72	0.029288702928870293
1_73	0.058823529411764705
1_74	0.023809523809523808
1_75	0.03734439834024896
1_76	0.039473684210526314
1_77	0.03305785123966942
1_78	0.0502092050209205
1_79	0.021406727828746176
1_80	0.017094017094017096
1_81	0.02843601895734597
1_82	0.013513513513513514
1_83	0.02054794520547945
1_84	0.03503184713375796
1_85	0.03529411764705882
1_86	0.018957345971563982
1_87	0.04905660377358491
1_88	0.03802281368821293
1_89	0.0371900826446281
1_90	0.015723270440251572
1_91	0.027906976744186046
1_92	0.06818181818181818
1_93	0.018957345971563982
1_94	0.04905660377358491
1_95	0.03802281368821293
1_96	0.0371900826446281
1_97	0.015723270440251572
1_98	0.027906976744186046
1_99	0.06818181818181818
1_100	0.039735099337748346
1_101	0.021739130434782608
1_102	0.025547445255474453
1_103	0.03278688524590164
1_104	0.017241379310344827
1_105	0.03765690376569038
1_106	0.024291497975708502
1_107	0.028469750889679714
1_108	0.019305019305019305
1_109	0.026022304832713755
1_110	0.034482758620689655
1_111	0.03162055335968379
1_112	0.0391304347826087
1_113	0.05859375
1_114	0.03409090909090909
1_115	0.02100840336134454
1_116	0.02390438247011952
1_117	0.03278688524590164
1_118	0.023622047244094488
1_119	0.024390243902439025
1_120	0.025
1_121	0.06343283582089553
1_122	0.020338983050847456
1_123	0.04779411764705882
1_124	0.02531645569620253
1_125	0.038461538461538464
1_126	0.045454545454545456
1_127	0.01532567049808429
1_128	0.030303030303030304
1_129	0.0375
1_130	0.020477815699658702
1_131	0.033962264150943396
1_132	0.0425531914893617
1_133	0.038461538461538464
1_134	0.034482758620689655
1_135	0.029914529914529916
1_136	0.033582089552238806
1_137	0.028169014084507043
1_138	0.02973977695167286
1_139	0.03254437869822485
1_140	0.038461538461538464
1_141	0.0345821325648415
1_142	0.03879310344827586
1_143	0.028
1_144	0.04633204633204633
1_145	0.03139013452914798
1_146	0.025
1_147	0.01937984496124031
1_148	0.0375
1_149	0.04285714285714286
1_150	0.029069767441860465
1_151	0.03773584905660377
1_152	0.029498525073746312
1_153	0.014619883040935672
1_154	0.02952029520295203
1_155	0.024242424242424242
1_156	0.019417475728155338
1_157	0.035856573705179286
1_158	0.044534412955465584
1_159	0.019230769230769232
1_160	0.03214285714285714
1_161	0.0211864406779661
1_162	0.01968503937007874
1_163	0.029411764705882353
1_164	0.03676470588235294
1_165	0.006269592476489028
1_166	0.021739130434782608
1_167	0.04152249134948097
1_168	0.044897959183673466
1_169	0.03861003861003861
1_170	0.03272727272727273
1_171	0.0423728813559322
1_172	0.040160642570281124
1_173	0.024734982332155476
1_174	0.04745762711864407
1_175	0.028925619834710745
1_176	0.017123287671232876
1_177	0.01729106628242075
1_178	0.02491103202846975
1_179	0.02527075812274368
1_180	0.034334763948497854
1_181	0.02586206896551724
1_182	0.06015037593984962
1_183	0.03206997084548105
1_184	0.01532567049808429
1_185	0.02643171806167401
